subject_num,alpha,beta,seen_a,seen_b
1000,23.323054,23.53728,-18.07123522,20.00857
1001,17.580224,29.52845,42.6056452,11.24921
1003,18.751865,41.26492,55.0783459,33.365523
1004,50.279994,55.85103,41.2969331,50.263796
1006,13.329743,53.25814,114.0442396,58.273441
9000,6.529162,24.50292,-15.58,18.251294
9001,38.063743,19.02504,80.15,37.774862
9002,33.735061,54.50192,61.28,62.11091
9003,41.9986,18.76591,59.907,14.657173
9005,47.868731,63.39064,67,23.01697
9006,46.153796,41.54801,62.43,62.66441
9007,50.42356,45.64096,25.7,24.048111
9009,34.145059,22.14777,42.956,21.084374
9010,16.409851,27.49398,-24.399,39.589997
9011,37.968524,16.01615,47.74,7.040093
9017,47.33312,41.73512,43.39,33.946754
9022,63.228568,36.39418,12.466,13.861568
9025,38.452665,43.33126,40.074,18.521519
9026,70.137389,47.0647,51.62,38.451696
9027,18.6431,22.4825,27.44,14.136881
9028,34.28057,26.38638,50.34,13.106239
9029,56.93604,37.96689,-0.666,15.157379
9030,20.061855,33.05391,6.57,23.30445
9031,36.816293,23.54123,21.978,24.752862
9032,44.424777,31.98139,45.177,15.434347
9034,60.544411,34.82878,64.187,13.355781
9036,23.599204,21.20437,29.017,12.765553
9037,44.456477,44.95418,35.855,14.112359
9041,24.234693,52.69484,60.27,21.395902
9042,4.189908,26.05599,1.478,17.931175
9043,39.760911,30.76993,-2.1176,23.622553
9045,40.481666,63.50593,-17.39,29.94163
9079,35.633808,18.95322,45.24,11.568649
9082,38.152053,12.16304,46.74,6.598811
9090,53.672221,41.21351,-60.734,48.18522
9095,18.029179,23.39741,26.67,12.69589
9096,42.260561,22.37241,55.45,8.507371
9097,34.651176,20.4637,50.995,11.618763
9098,37.568421,12.44582,44.843,7.973385
9099,50.204701,25.33186,80.157,19.51432
